"Relative Time (Process)","bih_lora_kaggle - system/gpu.0.memoryAllocatedBytes","bih_lora_kaggle - system/gpu.0.memoryAllocatedBytes__MIN","bih_lora_kaggle - system/gpu.0.memoryAllocatedBytes__MAX","bih_lora_kaggle - system/gpu.1.memoryAllocatedBytes","bih_lora_kaggle - system/gpu.1.memoryAllocatedBytes__MIN","bih_lora_kaggle - system/gpu.1.memoryAllocatedBytes__MAX"
"1490.351756495","8178761728","8178761728","8178761728","9372041216","9372041216","9372041216"
"1500.361353495","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1510.351166452","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1520.353681618","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1530.363990775","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1540.351926203","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1550.35638515","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1560.351300338","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1570.36125194","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1580.350577111","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1590.351588654","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1600.354795088","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1610.359846447","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1620.351312663","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1630.354521525","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1640.350889123","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1650.360417111","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1660.351401133","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1670.361303124","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1680.351700148","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1690.360069966","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1700.352165815","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1710.351639495","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1720.352239435","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1730.351626498","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1740.351297136","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1750.350253218","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1760.361052852","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1770.351030404","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1780.359851933","8178761728","8178761728","8178761728","9372041216","9372041216","9372041216"
"1790.351576538","7887257600","7887257600","7887257600","9372041216","9372041216","9372041216"
"1800.362038768","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1810.351096344","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1820.359771014","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1830.351010431","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1840.366532135","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1850.353317953","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1860.357272754","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1870.359524423","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1880.358431509","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1890.363372916","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1900.359465701","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1910.35357232","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1920.3527883","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1930.351444453","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1940.35738424","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1950.357282344","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1960.351821854","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1970.358484542","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1980.361983184","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"1990.361053978","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2000.35288585","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2010.354127358","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2020.356298706","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2030.352720439","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2040.36070487","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2050.358044933","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2060.350907579","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2070.35102994","8178761728","8178761728","8178761728","9372041216","9372041216","9372041216"
"2080.358709499","8178761728","8178761728","8178761728","9372041216","9372041216","9372041216"
"2090.357342545","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2100.361841319","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2110.352376584","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2120.35342373","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2130.35304899","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2140.351312838","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2150.360309486","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2160.360081605","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2170.355740379","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2180.356634542","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2190.352436083","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2200.351411022","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2210.357231731","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2220.352273915","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2230.355963329","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2240.356730803","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2250.359130751","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2260.358272814","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2270.359856154","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2280.351569946","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2290.351422901","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2300.350361894","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2310.359713879","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2320.351586011","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2330.352902964","7908229120","7908229120","7908229120","9372041216","9372041216","9372041216"
"2340.354618148","11490164736","11490164736","11490164736","280887296","280887296","280887296"
"2350.351480309","11035082752","11035082752","11035082752","280887296","280887296","280887296"
